model,target,target_name,test_mae,unit,best_val_mae,hid_dim,n_layers,epochs_trained,seed
### 50 percent
schnet,0,mu,0.073861,D,0.072233,96,4,150,42
schnet,1,alpha,0.134008,a_0^3,0.126354,96,4,150,42
schnet,2,HOMO,0.070222,eV,0.069819,96,4,150,42
schnet,3,LUMO,0.051370,eV,0.050437,96,4,150,42
schnet,4,gap,0.084540,eV,0.083005,96,4,150,42

egnn,0,mu,0.076168,D,0.071413,96,4,150,42
egnn,1,alpha,0.198946,a_0^3,0.190376,96,4,150,42
egnn,2,HOMO,0.055932,eV,0.055265,96,4,150,42
egnn,3,LUMO,0.049520,eV,0.048084,96,4,150,42
egnn,4,gap,0.084844,eV,0.082632,96,4,150,42

gat,0,mu,0.173149,D,0.175029,128,4,150,42
gat,1,alpha,0.227660,a_0^3,0.211515,128,4,150,42
gat,2,HOMO,0.097867,eV,0.096434,128,4,150,42
gat,3,LUMO,0.069846,eV,0.067576,128,4,150,42
gat,4,gap,0.122652,eV,0.119676,128,4,150,42

### 10 percent     
egnn,0,mu,0.177159,D,0.162434,96,4,150,42
egnn,1,alpha,0.551502,a_0^3,0.522756,96,4,150,42
egnn,2,HOMO,0.120197,eV,0.115183,96,4,150,42
egnn,3,LUMO,0.109954,eV,0.104618,96,4,150,42
egnn,4,gap,0.178784,eV,0.163932,96,4,150,42

schnet,0,mu,0.235376,D,0.219027,96,4,150,42
schnet,1,alpha,0.336795,a_0^3,0.305057,96,4,150,42
schnet,2,HOMO,0.161952,eV,0.153085,96,4,150,42
schnet,3,LUMO,0.137906,eV,0.129868,96,4,150,42
schnet,4,gap,0.216479,eV,0.194015,96,4,150,42

gat,0,mu,0.462725,D,0.443609,128,4,150,42
gat,1,alpha,0.509637,a_0^3,0.470452,128,4,150,42
gat,2,HOMO,0.223676,eV,0.220805,128,4,150,42
gat,3,LUMO,0.173247,eV,0.167359,128,4,150,42
gat,4,gap,0.295436,eV,0.268882,128,4,150,42

### 30 percent



